"統計名：","出入国管理統計 出入（帰）国者数"
"表番号："
"表題：","国籍・地域別　在留資格別　入国外国人"
"実施年月：","2024年","-"
"市区町村時点（年月日）：","-"

"***","集計に必要なデータがないもの"
"0","集計した結果がゼロのもの"

"","","","","","","","","","/在留資格 コード","100","120","130","140","150","160","170","180","190","200","210","220","230","240","250","260","270","280","290","300","310","320","330","340","344","346","350","360","370","380","390","400","410","430","440","450","460","470","480","490","500","510","520","530","540","550","570"
"","","","","","","","","","/在留資格 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"表章項目 コード","表章項目 補助コード","表章項目","時間軸(年次) コード","時間軸(年次) 補助コード","時間軸(年次)","国籍・地域 コード","国籍・地域 補助コード","国籍・地域","/在留資格","総数","外交","公用","教授","芸術","宗教","報道","投資・経営","経営・管理","法律・会計業務","医療","研究","教育","技術","人文知識・国際業務","技術･人文知識･国際業務","企業内転勤","介護","興行","技能","高度専門職１号イ","高度専門職１号ロ","高度専門職１号ハ","高度専門職２号","特定技能１号","特定技能２号","技能実習１号イ","技能実習１号ロ","技能実習２号イ","技能実習２号ロ","技能実習３号イ","技能実習３号ロ","文化活動","短期滞在_計","短期滞在_15日以内","短期滞在_90日以内","留学","就学","研修","家族滞在","特定活動","永住者","日本人の配偶者等","永住者の配偶者等","定住者","特別永住者","一時庇護"
"100","","入国外国人【人】","2024000000","","2024年","50160","","中国〔香港〕","","2,584,781","1","29","68","41","157","4","***","3,191","0","6","21","9","***","***","6,118","964","14","150","112","40","869","806","7","59","1","0","0","0","0","0","0","28","2,554,282","983","2,553,299","6,373","***","1","3,306","1,394","4,233","1,936","245","299","17","***"
"100","","入国外国人【人】","2024000000","","2024年","50170","","中国〔その他〕","","122,179","0","10","4","0","2","0","***","148","2","4","0","3","***","***","398","46","2","12","1","8","35","37","0","0","0","0","2","0","0","0","2","3","120,649","2,220","118,429","415","***","0","108","40","150","70","12","16","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50180","","キプロス","","3,317","4","0","0","0","0","0","***","26","0","0","0","3","***","***","22","1","0","11","0","0","8","7","0","0","0","0","0","0","0","0","0","0","3,166","0","3,166","33","***","0","20","1","7","8","0","0","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50190","","東ティモール","","456","13","86","0","0","2","0","***","0","0","0","0","0","***","***","3","0","0","0","0","0","0","0","0","0","0","0","15","0","0","0","0","1","139","118","21","57","***","128","10","0","0","2","0","0","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50200","","インド","","243,687","360","506","891","1","84","4","***","1,203","10","0","302","202","***","***","18,488","1,536","19","142","4,322","248","2,040","76","96","310","0","37","583","5","49","1","5","164","182,200","97,208","84,992","2,369","***","331","11,702","349","12,838","652","688","871","3","***"
"100","","入国外国人【人】","2024000000","","2024年","50210","","インドネシア","","523,239","345","2,596","478","17","74","5","***","186","0","139","105","29","***","***","8,560","929","648","204","303","98","348","15","11","31,688","7","623","37,260","68","1,319","13","2,095","121","409,296","370,748","38,548","8,036","***","719","3,808","3,518","5,806","2,153","274","1,329","16","***"
"100","","入国外国人【人】","2024000000","","2024年","50220","","イラン","","11,333","26","17","71","0","0","0","***","43","0","0","8","3","***","***","182","5","0","17","57","27","15","0","0","0","0","0","0","0","0","0","0","10","8,470","7,423","1,047","244","***","3","155","22","1,617","199","68","74","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50230","","イラク","","1,219","51","118","3","0","0","0","***","18","0","0","1","0","***","***","43","0","0","3","0","2","6","0","0","0","0","0","0","0","0","0","0","0","854","715","139","22","***","22","37","3","10","13","3","10","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50240","","イスラエル","","59,973","135","111","27","9","21","0","***","61","0","0","0","2","***","***","180","23","0","86","1","2","36","12","0","0","0","0","0","0","0","0","0","14","58,340","0","58,340","197","***","1","159","9","368","163","2","14","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50250","","ヨルダン","","1,919","39","116","9","0","0","0","***","13","0","0","7","4","***","***","52","5","0","1","1","0","2","0","0","0","0","0","0","0","0","0","0","1","1,432","1,073","359","62","***","52","27","6","44","29","6","11","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50270","","韓国","","9,024,635","945","1,915","2,832","257","2,129","101","***","12,304","52","562","402","330","***","***","69,004","7,550","108","19,968","1,680","736","2,818","763","250","490","0","0","0","0","0","0","0","478","8,595,214","147","8,595,067","41,353","***","135","18,738","13,258","113,909","22,493","4,440","9,025","80,396","***"
"100","","入国外国人【人】","2024000000","","2024年","50290","","（朝鮮）","","579","0","0","0","0","0","0","***","0","0","0","0","0","***","***","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","69","69","0","0","***","0","0","0","3","0","0","1","506","***"
"100","","入国外国人【人】","2024000000","","2024年","50300","","クウェート","","6,174","38","39","0","0","0","0","***","4","0","0","0","0","***","***","2","5","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6,012","2,744","3,268","15","***","15","17","1","0","18","0","0","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50310","","ラオス","","8,098","58","342","15","1","1","0","***","2","0","0","0","0","***","***","114","9","0","6","10","0","1","0","0","125","0","20","572","0","51","0","17","2","5,390","4,966","424","333","***","237","49","50","427","129","38","98","1","***"
"100","","入国外国人【人】","2024000000","","2024年","50320","","レバノン","","1,567","11","12","6","0","0","0","***","18","0","0","0","0","***","***","50","1","0","4","0","0","3","0","0","0","0","0","0","0","0","0","0","1","1,347","1,064","283","26","***","8","8","3","49","13","1","6","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50330","","マレーシア","","510,392","49","77","299","3","33","0","***","425","3","3","100","54","***","***","5,534","570","4","119","97","66","403","25","18","40","0","30","16","0","4","0","4","75","489,718","57","489,661","4,227","***","400","1,397","162","5,178","955","147","145","12","***"
"100","","入国外国人【人】","2024000000","","2024年","50340","","モンゴル","","54,360","257","229","78","8","3","3","***","450","0","18","14","3","***","***","3,423","25","44","144","23","42","109","3","4","677","0","0","954","0","287","0","130","28","35,870","25,392","10,478","4,578","***","228","3,401","588","1,750","437","161","391","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50350","","オマーン","","1,358","37","52","5","0","0","0","***","0","0","0","0","0","***","***","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1,178","769","409","48","***","26","0","0","0","2","0","0","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50360","","モルディブ","","716","12","52","1","0","0","0","***","1","0","0","0","0","***","***","7","8","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","487","371","116","34","***","62","9","0","30","11","0","0","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50370","","ネパール","","116,973","23","86","42","3","4","1","***","1,378","0","0","6","14","***","***","15,958","57","471","58","8,055","26","39","3","5","3,811","0","0","1,284","0","90","0","30","29","15,410","6,151","9,259","38,930","***","199","25,111","361","3,860","568","441","620","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50380","","パキスタン","","30,333","32","182","47","0","42","0","***","2,759","0","0","11","67","***","***","5,005","90","0","15","166","16","42","5","1","9","0","101","42","0","1","0","0","12","9,202","7,478","1,724","1,366","***","182","4,237","47","3,984","896","711","1,062","1","***"
"100","","入国外国人【人】","2024000000","","2024年","50390","","フィリピン","","937,795","307","1,820","238","2","511","0","***","194","0","84","41","2,382","***","***","12,306","2,866","718","4,157","568","75","229","6","11","15,612","6","899","12,878","203","1,920","122","1,829","119","732,059","297,946","434,113","3,253","***","434","4,561","3,679","79,779","18,976","3,890","31,054","7","***"
"100","","入国外国人【人】","2024000000","","2024年","50400","","カタール","","3,821","62","7","0","0","0","0","***","0","0","0","0","0","***","***","6","3","0","23","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3,679","13","3,666","40","***","1","0","0","0","0","0","0","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50410","","サウジアラビア","","17,460","200","972","5","0","0","0","***","26","0","0","0","0","***","***","105","5","0","14","0","0","10","0","0","0","0","0","0","0","0","0","0","5","15,868","11,411","4,457","94","***","39","62","5","29","18","0","3","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50420","","シリア","","1,363","4","4","12","0","0","4","***","16","0","0","1","0","***","***","66","1","0","4","5","5","10","0","0","0","0","0","0","0","0","0","0","1","817","514","303","70","***","0","46","67","42","20","15","153","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50430","","シンガポール","","691,557","104","52","72","9","117","5","***","388","8","2","9","147","***","***","2,047","523","0","156","49","17","383","50","6","1","0","0","0","0","0","0","0","22","682,394","60","682,334","1,063","***","9","596","78","2,172","943","48","74","13","***"
"100","","入国外国人【人】","2024000000","","2024年","50440","","タイ","","1,174,031","269","4,847","383","11","312","0","***","461","0","7","96","9","***","***","5,196","2,122","56","1,275","1,125","155","211","10","14","2,599","2","514","3,520","44","424","31","820","191","1,113,744","1,097,430","16,314","6,630","***","473","1,063","431","16,227","7,486","573","2,699","1","***"
"100","","入国外国人【人】","2024000000","","2024年","50450","","トルコ","","64,321","105","333","64","3","9","2","***","300","0","1","23","16","***","***","575","235","0","17","113","10","58","46","0","2","0","18","0","0","0","0","0","29","58,805","11","58,794","619","***","72","512","41","977","820","227","289","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50460","","ベトナム","","650,473","603","2,112","281","1","205","5","***","5,570","0","205","104","11","***","***","92,920","2,218","3,790","41","1,092","188","1,206","85","64","91,673","107","919","59,214","265","18,775","108","17,638","95","216,841","183,814","33,027","39,001","***","547","51,266","9,469","20,005","6,976","2,072","4,799","2","***"
"100","","入国外国人【人】","2024000000","","2024年","50470","","イエメン","","572","19","10","0","0","0","0","***","6","0","0","0","1","***","***","15","0","0","3","0","0","4","0","0","0","0","0","0","0","0","0","0","0","453","340","113","9","***","20","3","3","4","11","3","8","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50480","","パレスチナ","","347","0","4","3","0","0","0","***","0","0","0","0","1","***","***","7","0","0","0","0","3","1","0","0","0","0","0","0","0","0","0","0","0","226","174","52","20","***","47","5","20","3","5","0","2","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50490","","ヨーロッパ","","2,493,126","3,640","2,444","3,517","519","358","255","***","5,318","198","1","639","3,086","***","***","26,966","4,181","8","11,658","1,735","554","3,411","948","115","143","0","20","127","0","31","0","6","1,462","2,324,643","85,234","2,239,409","23,886","***","781","11,122","10,607","33,317","14,188","888","1,931","423","***"
"100","","入国外国人【人】","2024000000","","2024年","50500","","アルバニア","","978","16","5","5","0","0","0","***","0","0","0","0","0","***","***","11","0","0","4","0","2","1","0","0","0","0","0","0","0","0","0","0","0","839","642","197","25","***","19","2","0","35","14","0","0","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50510","","オーストリア","","36,810","85","76","47","3","4","0","***","26","0","0","4","6","***","***","179","118","0","487","27","13","43","37","11","1","0","0","0","0","0","0","0","22","34,657","1","34,656","267","***","0","81","123","350","137","0","6","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50520","","ベルギー","","47,674","83","19","51","2","13","1","***","134","0","0","6","13","***","***","382","80","0","189","108","12","51","20","0","2","0","0","0","0","0","0","0","18","45,125","0","45,125","471","***","0","132","23","447","254","14","17","7","***"
"100","","入国外国人【人】","2024000000","","2024年","50530","","ブルガリア","","9,682","27","20","32","1","0","0","***","6","0","0","0","5","***","***","105","9","0","41","6","7","13","6","0","0","0","0","0","0","0","0","0","10","8,905","0","8,905","133","***","2","33","3","235","78","2","2","1","***"
"100","","入国外国人【人】","2024000000","","2024年","50540","","ベラルーシ","","3,217","6","8","10","1","0","0","***","0","0","0","10","0","***","***","62","4","0","75","1","0","6","0","0","1","0","0","0","0","0","0","0","5","2,706","1,938","768","78","***","0","28","6","162","37","3","8","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50550","","クロアチア","","6,130","8","0","16","1","3","0","***","7","0","0","0","3","***","***","49","5","0","45","0","0","4","0","0","0","0","0","0","0","0","0","0","1","5,814","1","5,813","58","***","3","19","2","56","32","1","3","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50560","","チェコ","","20,153","68","38","49","6","0","0","***","16","0","0","2","2","***","***","136","28","0","295","14","0","3","0","0","0","0","7","0","0","0","0","0","15","18,793","0","18,793","226","***","0","56","151","153","84","5","6","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50570","","デンマーク","","41,387","55","12","23","9","0","4","***","136","0","0","6","3","***","***","181","68","0","144","13","9","39","21","0","0","0","0","0","0","0","0","0","29","39,143","3","39,140","295","***","0","156","540","285","181","10","22","3","***"
"100","","入国外国人【人】","2024000000","","2024年","50580","","エストニア","","4,597","25","8","7","1","0","0","***","1","0","0","0","2","***","***","38","0","0","56","1","0","2","0","0","1","0","0","0","0","0","0","0","0","4,262","3","4,259","45","***","0","18","35","43","41","2","9","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50590","","フィンランド","","29,165","82","6","43","5","25","0","***","10","0","0","4","7","***","***","239","46","0","149","46","8","52","5","0","1","0","0","0","0","0","0","0","12","27,312","0","27,312","472","***","3","111","101","226","182","14","1","3","***"
"100","","入国外国人【人】","2024000000","","2024年","50600","","フランス","","392,733","244","383","578","107","24","72","***","1,143","22","1","185","268","***","***","5,946","743","0","1,228","159","85","820","184","17","20","0","0","0","0","0","0","0","396","362,292","7","362,285","4,498","***","1","2,091","2,638","5,637","2,572","100","154","125","***"
"100","","入国外国人【人】","2024000000","","2024年","50610","","ドイツ","","319,362","397","350","586","47","55","62","***","785","29","0","80","99","***","***","2,531","1,169","0","1,023","32","118","370","157","10","1","0","0","0","0","0","0","0","234","300,399","5","300,394","3,403","***","3","1,234","1,657","3,020","1,345","51","80","35","***"
"100","","入国外国人【人】","2024000000","","2024年","50620","","ギリシャ","","15,057","33","2","37","0","0","2","***","2","0","0","7","2","***","***","87","12","0","57","3","5","5","0","2","0","0","0","0","0","0","0","0","11","14,466","0","14,466","79","***","1","25","6","146","62","1","2","2","***"
"100","","入国外国人【人】","2024000000","","2024年","50630","","ハンガリー","","16,223","99","38","77","3","0","0","***","12","0","0","3","5","***","***","207","42","0","207","50","11","20","0","0","1","0","0","0","0","0","0","0","5","14,654","0","14,654","200","***","4","47","109","276","122","4","24","3","***"
"100","","入国外国人【人】","2024000000","","2024年","50640","","アイスランド","","2,150","12","0","8","0","2","0","***","11","0","0","0","2","***","***","25","4","0","13","0","0","11","0","0","0","0","0","0","0","0","0","0","5","1,951","0","1,951","50","***","0","15","8","23","10","0","0","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50650","","アイルランド","","33,794","84","4","66","1","0","5","***","40","0","0","1","248","***","***","455","67","0","177","54","7","85","7","3","0","0","0","0","0","0","0","0","11","31,128","0","31,128","129","***","2","120","149","694","215","15","17","10","***"
"100","","入国外国人【人】","2024000000","","2024年","50660","","イタリア","","232,452","231","474","280","58","47","6","***","383","0","0","89","7","***","***","2,023","331","0","766","205","76","171","26","1","13","0","0","0","0","0","0","0","159","221,265","1","221,264","1,767","***","9","561","83","1,931","1,358","37","73","22","***"
"100","","入国外国人【人】","2024000000","","2024年","50670","","キルギス","","3,485","18","19","9","0","0","0","***","27","0","0","0","6","***","***","178","3","2","10","0","0","2","0","0","23","0","0","15","0","4","0","3","1","2,525","1,844","681","201","***","114","143","26","119","27","3","7","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50680","","カザフスタン","","10,204","66","72","25","1","0","0","***","20","0","0","8","3","***","***","163","1","0","49","0","7","26","0","0","2","0","0","0","0","0","0","0","6","8,899","7,765","1,134","474","***","46","165","28","85","44","7","7","0","***"
"100","","入国外国人【人】","2024000000","","2024年","50690","","リヒテンシュタイン","","259","1","0","0","0","0","0","***","3","0","0","0","0","***","***","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","236","0","236","5","***","0","7","0","2","2","0","0","0","***"
